A0A0B3AEG8	A0A0B3AEG8	4	1579374
A0A0B3AEG8	A0A7J4I333	1	2026803
A0A0B3AEG8	A0A7J4LQJ9	1	2026803
A0A0B3APE8	A0A0B3APE8	4	1579371
A0A0B3APE8	A0A7J4IKZ7	1	2026803
A0A0B5HXB5	A0A0B5HXB5	2	2026803
A0A0B5HXB5	A0A2D6LH85	2	2026803
A0A0B5HXB5	A0A7J4IAT6	2	2026803
A0A0S8KCF8	A0A0S8KCF8	2	2026803
A0A0S8KCF8	A0A2D6LHE5	2	2026803
A0A165E728	A0A165E728	1	1906665
A0A165E728	A0A2D6PC46	1	1906665
A0A165E728	A0A2D6RK96	1	1906665
A0A165E728	A0A2D6W4H9	1	1906665
A0A165E728	A0A2H9PKS7	2	1974449
A0A165E728	A0A2J6H268	1	2026803
A0A165E728	A0A3M1FDZ6	2	2026803
A0A165E728	A0A3M1JES9	2	2026803
A0A165E728	A0A419FT55	1	2026803
A0A165E728	A0A7C5HGT6	1	2026803
A0A165E728	A0A7J4U9E0	1	2026803
A0A165E728	A0A842UTG7	2	2026803
A0A165E728	A0A842VAA7	1	2026803
A0A1A8BVV1	A0A1A8BVV1	2	1805424
A0A1A8BVV1	A0A1J4XW79	2	1805424
A0A1A8BVV1	A0A7J2I1X7	1	2026803
A0A1B1ZHS2	A0A1B1ZHS2	2	2026803
A0A1B1ZHS2	A0A7J4I6V3	2	2026803
A0A1B1ZHS2	A0A7J4I791	1	2026803
A0A1F4ZU95	A0A1F4ZU95	2	2026803
A0A1F4ZU95	A0A7J4I9J5	2	2026803
A0A1F6CDC3	A0A1F6CDC3	2	2026803
A0A1F6CDC3	A0A7J4I3F4	2	2026803
A0A1Q7KCW4	A0A1Q7KCW4	2	2026803
A0A1Q7KCW4	A0A7J4QG69	2	2026803
A0A2H9LWT8	A0A2H9LWT8	1	2565781
A0A2H9LWT8	A0A5Q0UHZ6	1	2565781
A0A2H9LWT8	A0A7J3XEK6	2	2093792
A0A2H9LWT8	A0A7J4J2F7	1	2026803
A0A2N2F2G3	A0A2N2F2G3	2	2026803
A0A2N2F2G3	A0A7J4ID98	2	2026803
A0A316GM75	A0A316GM75	1	1579374
A0A316GM75	A0A0B3AQQ3	1	1579374
A0A316GM75	A0A7J4I5A3	1	2026803
A0A316GM75	A0A7J4TX64	2	2026803
A0A369H4E7	A0A369H4E7	1	2026803
A0A369H4E7	A0A7J4I4G8	1	2026803
A0A369H4E7	A0A7J4LT28	1	2026803
A0A369H4E7	A0A7J4TT91	3	2026803
A0A3M1JI64	A0A3M1JI64	2	1805423
A0A3M1JI64	A0A1J4XUF4	2	1805423
A0A3M1JI64	A0A2G9PML5	1	1974455
A0A3M1JI64	A0A7J4IRQ3	1	2026803
A0A3M1JI64	A0A7J4R9M5	1	2026803
A0A521I2T6	A0A521I2T6	1	2026803
A0A521I2T6	A0A7J4INS7	1	2026803
A0A521I2T6	A0A7J4V373	2	2026803
A0A532VIZ2	A0A532VIZ2	1	2026803
A0A532VIZ2	A0A7J4I014	1	2026803
A0A536GGW1	A0A536GGW1	1	2268197
A0A536GGW1	A0A7J2Y9L4	1	2268197
A0A5E5Q226	A0A5E5Q226	1	2026803
A0A5E5Q226	A0A2D6SP48	1	2026803
A0A6A7MSK1	A0A6A7MSK1	1	2026803
A0A6A7MSK1	A0A7J4IMM1	1	2026803
A0A6A7MSK1	A0A7J4TAH9	1	2026803
A0A6A7MSK1	A0A7J4V647	3	2026803
A0A6J7GGY0	A0A6J7GGY0	2	2026803
A0A6J7GGY0	A0A7J4I7W9	2	2026803
A0A7C3UIJ6	A0A7C3UIJ6	1	2026803
A0A7C3UIJ6	A0A7J4IBW3	1	2026803
A0A7C3UIJ6	A0A7J4V6P8	2	2026803
A0A7C4QTT4	A0A7C4QTT4	2	1579374
A0A7C4QTT4	A0A0B3AR45	2	1579374
A0A7C4QTT4	A0A662FLV9	2	2026803
A0A7C4QTT4	A0A7J4I1E2	1	2026803
A0A7J4DN71	A0A7J4DN71	2	2026803
A0A7J4DN71	A0A7J4IEW5	2	2026803
