A0A7J4IRQ3	133
A0A7J4IEW5	154
A0A3M1JES9	315
A0A7J4J3L4	361
A0A7J4I0X7	104
A0A7J4I6A1	52
A0A7J4IMM1	421
A0A7J4TAH9	372
A0A3M1FDZ6	327
A0A7J4I6F7	335
A0A7J2I1X7	508
A0A7J4TX64	289
A0A2G9N4J6	316
A0A7J4I9J5	131
A0A0B3APE8	201
A0A7J4UGV3	342
A0A2D6PC46	311
A0A7J4Q9J2	342
A0A7J4I7S4	62
A0A7J4LUC8	154
A0A7J4I7L4	67
A0A662FB52	328
A0A7J4IAT6	428
A0A2G9MME0	367
A0A1J4XUF4	132
A0A7J4V6P8	489
A0A3A4ULL4	286
A0A0B3AR45	267
A0A7C5HGT6	314
A0A7J4LQJ9	261
A0A2G9PML5	132
A0A7J4IKG8	96
A0A7J4ID98	582
A0A7J4IKZ7	201
A0A7W1TR24	87
A0A7J4I425	71
A0A7J3XEK6	453
A0A0B3AQQ3	298
A0A7J4MPA3	342
A0A7J4IDV1	436
A0A7J4TT91	150
A0A7J4IK41	151
A0A7J4I6V3	376
A0A7J4INS7	342
A0A7J4I1M7	296
A0A842UTG7	331
A0A7J4I791	344
A0A256YM55	57
A0A842NR96	333
A0A2H9PKS7	332
A0A151E7W9	315
A0A7J4R9M5	132
A0A7J4I5Q2	348
A0A7J4TFJ1	347
A0A7J4IQW1	196
A0A7J4IB74	170
A0A7J4HU24	353
A0A1S6H734	303
A0A7J4IAI2	67
A0A7J4I926	82
A0A7J4I1E2	267
A0A7J4I4G8	168
A0A842WDS0	332
A0A7J4TV51	191
A0A662F4A7	347
A0A1J4XW79	583
A0A2J6H268	316
A0A2D6LHE5	342
A0A7J4I3F4	67
A0A7J4U9E0	341
A0A7J4V647	361
A0A7J4L726	303
A0A7J4J2F7	482
A0A7J4I6N9	83
A0A7J4TU84	375
A0A842UVW4	325
A0A7J4I5E1	71
A0A7J4I7F0	192
A0A842VAA7	324
A0A419FT55	337
A0A7J4IBW3	601
A0A2D6LH85	418
A0A3M1NH49	330
A0A2D6W4H9	324
A0A2D6SP48	126
A0A7J4LT28	168
A0A7J4QG69	345
A0A842W926	313
A0A2D6ND33	357
A0A2G9MKP3	333
A0A5Q0UHZ6	461
A0A0B3AEG8	261
A0A7J4I014	69
A0A7J4I5A3	298
A0A662FLV9	242
A0A7J4I9S7	108
A0A7J4V373	342
A0A7J4I983	144
A0A7J2Y9L4	58
A0A7J4I333	261
A0A7J4I657	130
A0A2D6RK96	307
A0A7J4I0C1	375
A0A0B3ALV1	353
A0A7J4I7W9	315
A0A662FEU5	333
